SKU,Strain,Tier,Type,THC,Price_3G,Price_5G,Price_14G,Price_28G,ImageURL,PPromo
182,YODA KUSH,BUDGET,IH,27%,$10,,,$55,https://athena-cannabis-images.vercel.app/products/168-182-YODA-KUSH.webp,
277,NYC SOUR DIESEL,AA,IH,29%,,$20,$45,$75,https://athena-cannabis-images.vercel.app/products/261-277-NYC-SOUR-DIESEL.webp,
307,DEATH BUBBA,AAA+,IH,31%,$20,$30,$70,,https://athena-cannabis-images.vercel.app/products/99252-307-DEATH-BUBBA.webp,
312,MANGO HAZE,AAA+,SH,32%,$20,$30,$70,,https://athena-cannabis-images.vercel.app/products/302-312-MANGO-HAZE.webp,
313,SUPER LEMON,AAA+,SH,32%,$20,$30,$70,,https://athena-cannabis-images.vercel.app/products/385-313-SUPER-LEMON.webp,
314,TAHOE COOKIES,AAA+,IH,31%,$20,$30,$70,,https://athena-cannabis-images.vercel.app/products/99262-314-TAHOE-COOKIE.webp,
315,GREASE MONKEY,AAA+,IH,31%,$20,$30,$70,,https://athena-cannabis-images.vercel.app/products/99253-315-GREASE-MONKEY.webp,
318,PINK ROZAY,AAA+,IH,31%,$20,$30,$70,,https://athena-cannabis-images.vercel.app/products/99264-318-PINK-ROZAY.webp,
380,PEANUTBUTTER BREATHE,AAA+,IH,30%,$20,$30,$70,,https://athena-cannabis-images.vercel.app/products/99268-380-PEANUTBUTTER-BREATHE.webp,
486,FCKING INCREDIBLE,PREMIUM,SH,33%,$30,$45,$95,,https://athena-cannabis-images.vercel.app/products/464-486-FCKING-INCREDIBLE.webp,
487,BIRTHDAY CAKE,PREMIUM,IH,33%,$30,$45,$95,,https://athena-cannabis-images.vercel.app/products/476-487-BIRTDAY-CAKE.webp,
490,PINK JOKER,PREMIUM,IH,33%,$30,$45,$95,,https://athena-cannabis-images.vercel.app/products/99255-490-PINK-JOKER.webp,
491,SUPER DRIP,PREMIUM,IH,32%,$30,$45,$95,,https://athena-cannabis-images.vercel.app/products/99259-491-SUPER-DRIP.webp,
539,PEANUT BUTTER ROCKSTAR,EXOTIC,IH,38%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/99258-539-PEANUT-BUTTER-ROCKSTAR.webp,
540,PINK ICKY STICKY,EXOTIC,IH,38%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/99260-540-PINK-ICKY-STICKY.webp,
541,BRUCE BANNER,EXOTIC,SH,38%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/501-541-BRUCE-BANNER.webp,
542,PINK VELVET           ,EXOTIC,IH,39%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/505-542PINK-VELVET.webp,
543,PINK SUPREME,EXOTIC,IH,38%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/99257-543-PINK-SUPREME.webp,
563,PURPLE SKUNK,EXOTIC,IH,35%,$40,$60,$140,,https://athena-cannabis-images.vercel.app/products/99265-563-PURPLE-SKUNK.webp,
100,FUNKY RUNTZ Shreds,Budget,IH,24%,,,,$40,https://athena-cannabis-images.vercel.app/products/101-bubba-kush-cannabis-shake.jpg,
102,BANANA KUSH Shreds,Budget,IH,24%,,,,$40,https://athena-cannabis-images.vercel.app/products/102-Banana-Kush-Shake.jpg,
103,SKUNK APE Shreds,Budget,IH,24%,,,,$40,https://athena-cannabis-images.vercel.app/products/101-bubba-kush-cannabis-shake.jpg,
104,NUKEN Shreds,Budget,IH,24%,,,,$40,https://athena-cannabis-images.vercel.app/products/104-Nuken-weed-Shake.jpg,
110,PURPLE SHERBET Shreds,Budget,IH,24%,,,,$40,https://athena-cannabis-images.vercel.app/products/110-Purple-Sherbet-Shake.jpg,
112,PINK BISCUITS SHREDS,Budget,IH,24%,,,,$40,https://athena-cannabis-images.vercel.app/products/112-Pink-Biscuits-Shake.jpg,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
113,PINK GELATO Shreds,Budget,IH,24%,,,,$40,https://athena-cannabis-images.vercel.app/products/113-PinkGelato.jpg,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
114,PINK NORTHERN LIGHTS (SHREDS),Budget,IH,25%,,,,$40,https://athena-cannabis-images.vercel.app/products/114-Hell-Fire-Shake.jpg,
119,PINK HINDU ( Shreds ),Budget,IH,25%,,,,$40,https://athena-cannabis-images.vercel.app/products/119-Pink-Hindu-shake.jpg,
168,OG KUSH,Budget,IH,26%,$10,,,$55,https://athena-cannabis-images.vercel.app/products/168-OG-KUSH-2.webp,
172,LAVENDER KUSH,Budget,IH,26%,$10,,,$50,https://afterdarkcannabis.com/wp-content/uploads/2025/06/172-Lavender-Kush.jpg,
173,BLUE GOD OGs,Budget,IH,26%,$10,,,$70,https://athena-cannabis-images.vercel.app/products/172-Blue-God-Og.jpg,
175,PINE TAR KUSH,Budget,IH,26%,$10,,,$60,https://athena-cannabis-images.vercel.app/products/175.jpg,
176,CAKE FACE,Budget,IH,26%,$10,,,$60,https://athena-cannabis-images.vercel.app/products/176.jpg,
177,SKUNK KUSH,Budget,IH,26%,$10,,,$60,https://athena-cannabis-images.vercel.app/products/177-SKUNK-KUSH.jpg,
178,ACAPULCO GOLD,Budget,SH,26%,$10,,,$60,https://athena-cannabis-images.vercel.app/products/178-AcapulcoGold.webp,
179,LONDON POUNDCAKE,Budget,IH,26%,$10,,,$60,https://athena-cannabis-images.vercel.app/products/99220-275-LONDON-POUNDCAKE.webp,
183,MANGO HAZE,BUDGET,SH,27%,$10,,,$60,https://athena-cannabis-images.vercel.app/products/99230-289-JUNGLE-JUICE.webp,
203,BLACK DIAMONDS ✨SALE,AA,IH SALE,27%,,20|15,$40,$60,https://athena-cannabis-images.vercel.app/products/203-BlackDiamond.webp,
204,ROYAL GORILLA,AA,IH,29%,,$20,$45,$80,https://athena-cannabis-images.vercel.app/products/204-ROYAL-GORILLA2.webp,
205,PINK STICKY ALIEN,AA,IH,29%,,$20,$45,$80,https://athena-cannabis-images.vercel.app/products/205-PINK-STICKY-ALIEN.webp,
210,WHITE CHAMPAGNE,AA,IH,27%,,$20,50,85,https://athena-cannabis-images.vercel.app/products/210-WHITE-CHAMPAGNE-99224.webp,
211,BC KUSH,AA,IH,28%,,$20,45,80,https://athena-cannabis-images.vercel.app/products/211-BC-KUSH-99225.webp,
212,BLACK JACK KUSH,AA,IH,28%,,$20,45,75,https://athena-cannabis-images.vercel.app/products/212-BLACKJACK-KUSH.webp,
213,MASTER KUSH,AA,IH,27%,,$20,$45,$80,https://athena-cannabis-images.vercel.app/products/213-Master-Kush.webp,
223,ALIEN COOKIES,AA,IH,27%,,20,45,80,https://athena-cannabis-images.vercel.app/products/223-ALIEN-COOKIES.jpg,
228,PINK GREASY,AA,IH SALE,27%,,20|15,$35,$60,https://athena-cannabis-images.vercel.app/products/228-PINK-GREASY.webp,
229,CHOCOLOPE KUSH,AA,IH SALE,27%,,20|15,$35,$60,https://athena-cannabis-images.vercel.app/products/229-CHOCOLOP-KUSH.webp,
230,PLATINUM KUSH OG,AA,IH,27%,,$20,,,https://athena-cannabis-images.vercel.app/products/230-PLATINUM-KUSH-OG.jpg,
