SKU,Type,Category,Name,THC,MG,Price_EACH,ImageURL,PPromoimageurl,PPromo,,,,,
920,i/h/s,PREROLLS,DEADLY MOONROCK PREROLL,50%+,,$20,https://athena-cannabis-images.vercel.app/products/920-DEADLY-PREROLL.png,,,,,,,
910,i/h/s,PREROLLS,DRIZZLE DELTA D9,40%+,,$50,https://athena-cannabis-images.vercel.app/products/DRIZZLE-DELTA-D9.jpg,,,,,,,
"900, 901, 902",i/h/s,PREROLLS,DRIZZLE DIAMOND PRE-ROLLS 1G,40%+,,$20,https://afterdarkcannabis.com/wp-content/uploads/2025/05/Drizzel-pre-rolls-nopromo.jpg,,,,,,,
"930, 931, 932, 933",i/h/s,PREROLLS,KNOCK OUT *INFUSED* PREROLLS x2 each,33%,,$25,https://athena-cannabis-images.vercel.app/products/e42b5a7c-28f1-4378-b89a-107df2ee4e12.png,,,,,,,
1023,,cigarettes,* ROLLED GOLD FULL,,,25/carton,https://athena-cannabis-images.vercel.app/products/Rolled-Gold-Full-Flavor-1-800x800.png.webp,,,,,,,
1016,,cigarettes,* ROLLED GOLD LIGHTS,,,25/carton,https://athena-cannabis-images.vercel.app/products/1023-ROLLED-GOLD.webp,,,,,,,
836,,VAPE PENS,*CLEARANCE* ZLAB ZPODS ASSORTED 2 ML,,,$1,https://afterdarkcannabis.com/wp-content/uploads/2025/05/836-Ziip-Lab-Zpods-Assorted.jpg,,,,,,,
868,,CONCENTRATES,*NEW* AFGHAN HASH,,,$25,https://athena-cannabis-images.vercel.app/products/Afghan-Hash.webp,,,,,,,
"883, 884, 885",,VAPE PENS,1.5 GOOBER THC VAPE PENS,,,$40,https://athena-cannabis-images.vercel.app/products/883-884-885-1.5gGOOBER.jpg,,,,,,,
999,,cigarettes,10 X PREMIUM MIX CIGARETTES,,,$3 / 10 cigerettes,https://athena-cannabis-images.vercel.app/products/999Cigs.webp,,,,,,,
"880, 881, 882",,VAPE PENS,2G DUAL CHAMBER GOOBER VAPE PEN,,,$50,https://afterdarkcannabis.com/wp-content/uploads/2025/06/Goober-2G-disposable.jpg,,,,,,,
"803, 804, 805",i/h/s,VAPE DISPOSABLE,2g GAS GANG Vol.3 HYBRID                          ,98%+,,$50,https://athena-cannabis-images.vercel.app/products/gasgang2gvol3assorted.webp,,,,,,,
189,SH,Add Ons,AMNESIA HAZE 1G SAT PRE-ROLL,28%,,$5,https://athena-cannabis-images.vercel.app/products/amnesiahaze.webp,,,,,,,
"701,702,704",,MAGIC & OTHERS,BACKWOODS,,,$20,https://athena-cannabis-images.vercel.app/products/701-backwoods-russian-cream-cannabis-dispensary-e1684959323761.jpg,,,,,,61260000,
"705,706,707,708",,MAGIC & OTHERS,BACKWOODS,,,$25,https://athena-cannabis-images.vercel.app/products/705-backwoods-vanilla-cannabis-dispensary-e1684959189153.jpg,,,,,,-3570000,take out their Keyboard and Mouse
"701, 702, 704, 705, 706, 707, 708",,cigarettes,BACKWOODS ASSORTED FLAVORS $2-$25,,,$20/$25,https://athena-cannabis-images.vercel.app/products/backwoodsassorted600x600.webp,,,,,,1373000,add tiktok Keyboard and mouse
1003,,cigarettes,BB FULL CARTON,,,25/carton,https://athena-cannabis-images.vercel.app/products/1003-BB-FULL-CARTON.webp,,,,,,59063000,new total
1001,,cigarettes,BB LIGHTS CARTON,,,25/carton,https://athena-cannabis-images.vercel.app/products/1001-BB-LIGHTS-CARTONS.webp,,,,,,,
1091,,VAPE PENS,BEAST MODE MAX – MANY FLAVORS,,,$40,https://athena-cannabis-images.vercel.app/products/1091-Beast-Mode-Max.webp,,,,,,,
1026,,cigarettes,BELMONT KS (PACK ONLY),,,15/pack,https://athena-cannabis-images.vercel.app/products/1026-BELMONT.webp,,,,,,,
"856, 857",,CONCENTRATES,BLONDIE MOROCON HASH,,,$30 / $45,https://athena-cannabis-images.vercel.app/products/ChatGPT-Image-Mar-5-2026-053847-PM.png,,,,,,,
1090,,VAPE PENS,BREEZE 2000 – 5% | 2K PUFFS,,,$25,https://afterdarkcannabis.com/wp-content/uploads/2025/07/1090-Breeze.jpg,,,,,,,
1014,,cigarettes,CANADIAN CLASSICS ORIGINAL,,,25/carton,https://athena-cannabis-images.vercel.app/products/1014-CANADIAN-CLASSSICS-ORIGINAL.webp,,,,,,,
1015,,cigarettes,CANADIAN CLASSICS SILVER,,,25/carton,https://athena-cannabis-images.vercel.app/products/1015-CANADIAN-CLASSICS-SILVER.webp,,,,,,,
1006,,cigarettes,CANADIAN FULL,,,25/carton,https://athena-cannabis-images.vercel.app/products/1006-CANADIAN-FULL.webp,,,,,,,
1011,,cigarettes,CANADIAN GOOSE FULL,,,25/carton,https://athena-cannabis-images.vercel.app/products/1011-CANADIAN-GOOSE.webp,,,,,,,
1012,,cigarettes,CANADIAN GOOSE LIGHTS,,,25/carton,https://athena-cannabis-images.vercel.app/products/1012-CANADIAN-GOOSE-LIGHTS.webp,,,,,,,
1005,,cigarettes,CANADIAN LIGHTS,,,25/carton,https://athena-cannabis-images.vercel.app/products/1005-CANADIAN-LIGHTS.webp,,,,,,,
1013,,cigarettes,CANADIAN MENTHOL,,,25/carton,https://athena-cannabis-images.vercel.app/products/1013-CANADIAN-MENTHOL.webp,,,,,,,
1095,,VAPE PENS,COCOBAR – 5% | 12K PUFFS,,,$30,https://afterdarkcannabis.com/wp-content/uploads/2025/09/Cocobar12000.jpg,,,,,,,
"564, 565, 566",,CONCENTRATES,DANK CHOCO BAR 1500MG,,1500mg,$45,https://athena-cannabis-images.vercel.app/products/564-Dank-Shatter-Bar-Blueberry-1500mg.jpg,,,,,,,
"970, 971",,EDIBLES,DRINK 50MG / 200MG EUPHORIA EXT,,,15/50,https://athena-cannabis-images.vercel.app/products/970-971-DRINK-50MG-200MG-EUPHORIA-EXT.webp,,,,,,,
"820, 821, 822",i/h/s,VAPE DISPOSABLE,DRIZZLE DISPO VAPE 1G,98%+,,$40,https://athena-cannabis-images.vercel.app/products/820-Drizzle-pod-vape-pen.jpg,,,,,,,
690,,EDIBLES,DRIZZLE LEAN THC SYRUP,,1500mg,$30,https://athena-cannabis-images.vercel.app/products/Drizzle-Lean.jpg,,,,,,,
810,i/h/s,VAPE DISPOSABLE,DRIZZLE SWITCH 3in1 / 1G,98%+,,$40,https://afterdarkcannabis.com/wp-content/uploads/2025/10/810-DRIZZLE-SWITCHs-3in1.png,,,,,,,
